Finished,Multiple,Phone pickups,Screen time,Books finished,Created,Date,Drink %,Drink,Events,Meditation %,Meditation,Multiple %,Reading,Pick up %,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Total,Tot To-do,Work done %
13,5,100,131,0,"October 21, 2021 11:41 PM",10/21/2021,0.0,0,,0.094,17,0.12,18,0.086,0.028,75,-0.0223,-0.003,0.0,0.231,0.8197,15,0.286
18,4,97,155,0,"October 20, 2021 11:41 PM",10/20/2021,0.0,0,,0.077,14,0.108,23,0.087,0.035,-21,0.0017,-0.003,0.0,0.225,0.8437,19,0.313
14,5,114,108,0,"October 19, 2021 11:36 PM",10/19/2021,0.0,0,,0.072,13,0.12,0,0.081,-0.03,48,-0.0091,-0.003,0.0,0.237,0.7399,17,0.272
18,3,154,134,0,"October 18, 2021 11:50 PM",10/18/2021,0.0,0,,0.083,15,0.096,0,0.066,-0.03,49,-0.0095,-0.003,0.0,0.23,0.7155,21,0.283
15,3,123,200,1,"October 17, 2021 11:52 PM",10/17/2021,0.0,0,,0.077,14,0.096,29,0.078,0.045,60,-0.0143,-0.003,0.0,0.213,0.7667,18,0.275
14,4,124,152,0,"October 17, 2021 1:41 AM",10/16/2021,0.0,0,Sat,0.083,15,0.108,0,0.077,-0.03,120,-0.057,0.0106,0.9,0.226,0.7066,16,0.289
10,4,115,203,0,"October 16, 2021 1:12 AM",10/15/2021,0.0,0,Fri,0.055,10,0.108,0,0.08,-0.03,-37,0.0054,-0.003,0.0,0.212,0.6214,17,0.194
15,4,98,194,0,"October 14, 2021 11:39 PM",10/14/2021,0.0,0,,0.072,13,0.108,26,0.086,0.04,2,0.0,-0.003,0.0,0.214,0.792,18,0.275
19,5,112,160,0,"October 13, 2021 11:47 PM",10/13/2021,0.0,0,,0.083,15,0.12,26,0.081,0.04,-30,0.0036,-0.003,0.0,0.223,0.8776,19,0.33
18,5,119,118,0,"October 12, 2021 11:43 PM",10/12/2021,0.0,0,,0.083,15,0.12,23,0.079,0.035,81,-0.026,-0.003,0.0,0.235,0.853,18,0.33
7,3,106,180,0,"October 11, 2021 11:52 PM",10/11/2021,0.0,0,Fall Break,0.0,0,0.096,0,0.084,-0.03,120,-0.057,-0.003,0.0,0.218,0.47,13,0.162
7,3,112,168,0,"October 11, 2021 2:35 AM",10/10/2021,0.0,0,,0.083,15,0.096,0,0.081,-0.03,63,-0.0157,-0.003,0.0,0.221,0.6663,9,0.234
11,4,89,75,0,"October 9, 2021 1:30 AM",10/08/2021,0.0,0,,0.083,15,0.108,0,0.09,-0.03,-40,0.0063,-0.003,0.0,0.246,0.7423,15,0.242
8,2,88,186,0,"October 7, 2021 11:10 PM",10/07/2021,0.0,0,,0.083,15,0.084,18,0.09,0.028,30,-0.0036,-0.003,0.0,0.216,0.6944,12,0.2
17,4,88,136,0,"October 6, 2021 11:24 PM",10/06/2021,0.0,0,,0.083,15,0.108,18,0.09,0.028,-30,0.0036,-0.003,0.0,0.23,0.8346,19,0.295
14,3,97,113,0,"October 5, 2021 11:16 PM",10/05/2021,0.0,0,,0.094,17,0.096,0,0.087,-0.03,60,-0.0143,-0.003,0.0,0.236,0.7547,16,0.289
18,4,120,111,0,"October 4, 2021 11:35 PM",10/04/2021,0.0,0,,0.083,15,0.108,19,0.079,0.029,90,-0.0321,-0.003,0.0,0.236,0.7969,20,0.297
11,4,109,229,0,"October 3, 2021 11:39 PM",10/03/2021,0.0,0,,0.044,8,0.108,0,0.083,-0.03,120,-0.057,-0.003,0.0,0.205,0.609,14,0.259
3,3,90,120,0,"October 3, 2021 12:23 AM",10/02/2021,0.0,0,ER,0.0,0,0.096,0,0.089,-0.03,120,-0.057,-0.003,0.0,0.234,0.391,16,0.062
12,3,94,179,0,"October 2, 2021 12:06 AM",10/01/2021,-0.03,1,,0.083,15,0.096,0,0.088,-0.03,-50,0.0099,-0.003,0.0,0.218,0.6799,16,0.248
